Done,Date,Log name,Asset IDs,Asset names,Areas,Notes,Categories,Quantity measure,Quantity value,Quantity unit,Quantity label,Material,Purpose,Application method,Source/manufacturer,Lot number,Date purchased
,2018-08-09,,,NUFILM P,SQ 3,,Spraying: Tractor,3.51,10,Ounces,89%,NUFILM P,Broccoli,,,,
,2018-08-09,,,NUFILM P,ALF 1,,Spraying: Tractor,2.43,10,Ounces,89%,NUFILM P,Broccoli,,,,
,2018-08-10,,,STARGUS,N,,Spraying: Tractor,0.31,2,Quarts,40%,STARGUS,Tomatoes: Slicing,,,,
,2018-08-10,,,STARGUS,SQ 6,,Spraying: Tractor,0.69,2,Quarts,89%,STARGUS,Tomatoes: Slicing,,,,
,2018-08-10,,,STARGUS,SQ 9,,Spraying: Tractor,0.59,2,Quarts,67%,STARGUS,Cucumbers,,,,
,2018-08-10,,,STARGUS,O,,Spraying: Tractor,0.39,2,Quarts,40%,STARGUS,Cucumbers,,,,
,2018-08-10,,,STARGUS,U,,Spraying: Tractor,0.73,2,Quarts,89%,STARGUS,Cucumbers,,,,
,2018-08-10,,,NUFILM P,N,,Spraying: Tractor,1.26,8,Ounces,40%,NUFILM P,Tomatoes: Slicing,,,,
,2018-08-10,,,NUFILM P,SQ 6,,Spraying: Tractor,2.74,8,Ounces,89%,NUFILM P,Tomatoes: Slicing,,,,
,2018-08-10,,,NUFILM P,SQ 9,,Spraying: Tractor,2.34,8,Ounces,67%,NUFILM P,Cucumbers,,,,
,2018-08-10,,,NUFILM P,O,,Spraying: Tractor,1.54,8,Ounces,40%,NUFILM P,Cucumbers,,,,
,2018-08-10,,,NUFILM P,U,,Spraying: Tractor,2.91,8,Ounces,89%,NUFILM P,Cucumbers,,,,
,2018-08-10,,,ORGANIC GEM 343,N,,Spraying: Tractor,0.63,4,Quarts,40%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-08-10,,,ORGANIC GEM 343,SQ 6,,Spraying: Tractor,1.37,4,Quarts,89%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-08-10,,,ORGANIC GEM 343,SQ 9,,Spraying: Tractor,1.17,4,Quarts,67%,ORGANIC GEM 343,Cucumbers,,,,
,2018-08-10,,,ORGANIC GEM 343,O,,Spraying: Tractor,0.77,4,Quarts,40%,ORGANIC GEM 343,Cucumbers,,,,
,2018-08-10,,,ORGANIC GEM 343,U,,Spraying: Tractor,1.46,4,Quarts,89%,ORGANIC GEM 343,Cucumbers,,,,
,2018-08-14,,,BADGE X2,SQ 6,,Spraying: Tractor,0.28,1.02,Pounds,89%,BADGE X2,Tomatoes: Slicing,,,,
,2018-08-14,,,BADGE X2,N,,Spraying: Tractor,0.13,1.02,Pounds,40%,BADGE X2,Tomatoes: Slicing,,,,
,2018-08-14,,,BADGE X2,U,,Spraying: Tractor,0.3,1.02,Pounds,33%,BADGE X2,Squash: Winter,,,,
,2018-08-14,,,REGALIA,SQ 6,,Spraying: Tractor,0.56,2,Quarts,89%,REGALIA,Tomatoes: Slicing,,,,
,2018-08-14,,,REGALIA,N,,Spraying: Tractor,0.25,2,Quarts,40%,REGALIA,Tomatoes: Slicing,,,,
,2018-08-14,,,REGALIA,U,,Spraying: Tractor,0.59,2,Quarts,33%,REGALIA,Squash: Winter,,,,
,2018-08-14,,,NUFILM P,SQ 6,,Spraying: Tractor,2.74,10,Ounces,89%,NUFILM P,Tomatoes: Slicing,,,,
,2018-08-14,,,NUFILM P,N,,Spraying: Tractor,1.25,10,Ounces,40%,NUFILM P,Tomatoes: Slicing,,,,
,2018-08-14,,,NUFILM P,U,,Spraying: Tractor,2.91,10,Ounces,33%,NUFILM P,Squash: Winter,,,,
,2018-08-14,,,ORGANIC GEM 343,SQ 6,,Spraying: Tractor,0.4,4,Quarts,89%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-08-14,,,ORGANIC GEM 343,N,,Spraying: Tractor,0.18,4,Quarts,40%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-08-14,,,ORGANIC GEM 343,U,,Spraying: Tractor,0.42,4,Quarts,33%,ORGANIC GEM 343,Squash: Winter,,,,
,2018-09-14,,,BADGE X2,N,,Spraying: Tractor,0.16,1.02,Pounds,40%,BADGE X2,Tomatoes: Slicing,,,,
,2018-09-14,,,BADGE X2,SQ 6,,Spraying: Tractor,0.34,1.02,Pounds,89%,BADGE X2,Tomatoes: Slicing,,,,
,2018-09-14,,,NUFILM P,N,,Spraying: Tractor,1.65,10,Ounces,40%,NUFILM P,Tomatoes: Slicing,,,,
,2018-09-14,,,NUFILM P,SQ 6,,Spraying: Tractor,3.6,10,Ounces,89%,NUFILM P,Tomatoes: Slicing,,,,
,2018-09-14,,,ORGANIC GEM 343,N,,Spraying: Tractor,0.66,4,Quarts,40%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-09-14,,,ORGANIC GEM 343,SQ 6,,Spraying: Tractor,1.44,4,Quarts,89%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-09-14,,,REGALIA,N,,Spraying: Tractor,0.31,2,Quarts,40%,REGALIA,Tomatoes: Slicing,,,,
,2018-09-14,,,REGALIA,SQ 6,,Spraying: Tractor,0.69,2,Quarts,89%,REGALIA,Tomatoes: Slicing,,,,
,2018-09-19,,,ORGANIC GEM 343,SQ 10,,Spraying: Tractor,1.23,4,Quarts,86%,ORGANIC GEM 343,Kale,,,,
,2018-09-19,,,ORGANIC GEM 343,SQ 5,,Spraying: Tractor,1.33,4,Quarts,22%,ORGANIC GEM 343,Kale,,,,
,2018-09-19,,,ORGANIC GEM 343,SQ 3,,Spraying: Tractor,1.33,4,Quarts,89%,ORGANIC GEM 343,Kale,,,,
,2018-09-19,,,ORGANIC GEM 343,ALF 3,,Spraying: Tractor,1.02,4,Quarts,60%,ORGANIC GEM 343,Kale,,,,
,2018-09-19,,,ENTRUST,SQ 10,,Spraying: Tractor,2.2,7.15,Ounces,86%,ENTRUST,Kale,,,,
,2018-09-19,,,ENTRUST,SQ 5,,Spraying: Tractor,2.38,7.15,Ounces,22%,ENTRUST,Kale,,,,
,2018-09-19,,,ENTRUST,SQ 3,,Spraying: Tractor,2.38,7.15,Ounces,89%,ENTRUST,Kale,,,,
,2018-09-19,,,ENTRUST,ALF 3,,Spraying: Tractor,1.83,7.15,Ounces,60%,ENTRUST,Kale,,,,
,2018-09-19,,,NUFILM P,SQ 10,,Spraying: Tractor,2.45,8,Ounces,86%,NUFILM P,Kale,,,,
,2018-09-19,,,NUFILM P,SQ 5,,Spraying: Tractor,2.65,8,Ounces,22%,NUFILM P,Kale,,,,
,2018-09-19,,,NUFILM P,SQ 3,,Spraying: Tractor,2.65,8,Ounces,89%,NUFILM P,Kale,,,,
,2018-09-19,,,NUFILM P,ALF 3,,Spraying: Tractor,2.04,8,Ounces,60%,NUFILM P,Kale,,,,
,2018-09-19,,,REGALIA,SQ 10,,Spraying: Tractor,0.63,2,Quarts,86%,REGALIA,Kale,,,,
,2018-09-19,,,REGALIA,SQ 5,,Spraying: Tractor,0.68,2,Quarts,22%,REGALIA,Kale,,,,
,2018-09-19,,,REGALIA,SQ 3,,Spraying: Tractor,0.68,2,Quarts,89%,REGALIA,Kale,,,,
,2018-09-19,,,REGALIA,ALF 3,,Spraying: Tractor,0.52,2,Quarts,60%,REGALIA,Kale,,,,
,2018-09-20,,,NUFILM P,SQ 10,,Spraying: Tractor,1.99,8,Ounces,57%,NUFILM P,Tomatoes: Slicing,,,,
,2018-09-20,,,NUFILM P,N,,Spraying: Tractor,0.91,8,Ounces,40%,NUFILM P,Tomatoes: Slicing,,,,
,2018-09-20,,,ORGANIC GEM 343,SQ 10,,Spraying: Tractor,1.03,4,Quarts,57%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-09-20,,,ORGANIC GEM 343,N,,Spraying: Tractor,0.47,4,Quarts,40%,ORGANIC GEM 343,Tomatoes: Slicing,,,,
,2018-09-20,,,REGALIA,SQ 10,,Spraying: Tractor,0.48,2,Quarts,57%,REGALIA,Tomatoes: Slicing,,,,
,2018-09-20,,,REGALIA,N,,Spraying: Tractor,0.22,2,Quarts,40%,REGALIA,Tomatoes: Slicing,,,,
,2018-09-20,,,STARGUS,SQ 10,,Spraying: Tractor,0.48,2,Quarts,57%,STARGUS,Tomatoes: Slicing,,,,
,2018-09-20,,,STARGUS,N,,Spraying: Tractor,0.22,2,Quarts,40%,STARGUS,Tomatoes: Slicing,,,,
,2018-09-20,,,NUFILM P,SQ 10,,Spraying: Tractor,1.17,8,Ounces,36%,NUFILM P,Broccoli,,,,
,2018-09-20,,,NUFILM P,SQ 5,,Spraying: Tractor,1.27,8,Ounces,22%,NUFILM P,Broccoli,,,,
,2018-09-20,,,NUFILM P,SQ 3,,Spraying: Tractor,1.27,8,Ounces,33%,NUFILM P,Broccoli,,,,
,2018-09-20,,,ORGANIC GEM 343,SQ 10,,Spraying: Tractor,0.57,4,Quarts,36%,ORGANIC GEM 343,Broccoli,,,,
,2018-09-20,,,ORGANIC GEM 343,SQ 5,,Spraying: Tractor,0.62,4,Quarts,22%,ORGANIC GEM 343,Broccoli,,,,
,2018-09-20,,,ORGANIC GEM 343,SQ 3,,Spraying: Tractor,0.62,4,Quarts,33%,ORGANIC GEM 343,Broccoli,,,,
,2018-09-20,,,REGALIA,SQ 10,,Spraying: Tractor,0.28,2,Quarts,36%,REGALIA,Broccoli,,,,
,2018-09-20,,,REGALIA,SQ 5,,Spraying: Tractor,0.31,2,Quarts,22%,REGALIA,Broccoli,,,,
,2018-09-20,,,REGALIA,SQ 3,,Spraying: Tractor,0.31,2,Quarts,33%,REGALIA,Broccoli,,,,
,2018-09-20,,,BADGE X2,SQ 10,,Spraying: Tractor,0.16,1.02,Pounds,36%,BADGE X2,Broccoli,,,,
,2018-09-20,,,BADGE X2,SQ 5,,Spraying: Tractor,0.17,1.02,Pounds,22%,BADGE X2,Broccoli,,,,
,2018-09-20,,,BADGE X2,SQ 3,,Spraying: Tractor,0.17,1.02,Pounds,33%,BADGE X2,Broccoli,,,,
