"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Material","Purpose","Application method","Source/manufacturer","Lot number","Date purchased"
,"2018-06-02",,,"ORGANIC GEM 343","SQ 7","disease pre-emption","Spraying: Tractor",1.17,4,"Quarts","17%","ORGANIC GEM 343","Peas: Snap",,,,
,"2018-06-02",,,"NUFILM P","N","disease pre-emption","Spraying: Tractor",1.17,8,"Ounces","100%","NUFILM P","Tomatoes: Slicing, Peppers: Bell",,,,
,"2018-06-02",,,"NUFILM P","R","disease pre-emption","Spraying: Tractor",2.13,8,"Ounces","100%","NUFILM P","Potatoes",,,,
,"2018-06-02",,,"NUFILM P","V","disease pre-emption","Spraying: Tractor",2.35,8,"Ounces","73%","NUFILM P","Potatoes",,,,
,"2018-06-02",,,"NUFILM P","SQ 7","disease pre-emption","Spraying: Tractor",2.35,8,"Ounces","17%","NUFILM P","Peas: Snap",,,,
,"2018-06-06",,,"PYGANIC","M","Flea and bean beetle","Spraying: Tractor",1.23,12,"Ounces","100%","PYGANIC","Asparagus",,,,
,"2018-06-06",,,"PYGANIC","S","Flea and bean beetle","Spraying: Tractor",1.94,12,"Ounces","78%","PYGANIC","Cabbage",,,,
,"2018-06-06",,,"PYGANIC","SQ 7","Flea and bean beetle","Spraying: Tractor",2.84,12,"Ounces","17%","PYGANIC","Kohlrabi",,,,
,"2018-06-06",,,"ORGANIC GEM 343","M","Flea and bean beetle","Spraying: Tractor",0.41,4,"Quarts","100%","ORGANIC GEM 343","Asparagus",,,,
,"2018-06-06",,,"ORGANIC GEM 343","S","Flea and bean beetle","Spraying: Tractor",0.65,4,"Quarts","78%","ORGANIC GEM 343","Cabbage",,,,
,"2018-06-06",,,"ORGANIC GEM 343","SQ 7","Flea and bean beetle","Spraying: Tractor",0.95,4,"Quarts","17%","ORGANIC GEM 343","Kohlrabi",,,,
,"2018-06-06",,,"NUFILM P","M","Flea and bean beetle","Spraying: Tractor",0.82,8,"Ounces","100%","NUFILM P","Asparagus",,,,
,"2018-06-06",,,"NUFILM P","S","Flea and bean beetle","Spraying: Tractor",1.29,8,"Ounces","78%","NUFILM P","Cabbage",,,,
,"2018-06-06",,,"NUFILM P","SQ 7","Flea and bean beetle","Spraying: Tractor",1.89,8,"Ounces","17%","NUFILM P","Kohlrabi",,,,
,"2018-08-23",,,"BADGE X2","N","Disease management","Spraying: Tractor",0.15,1.02,"Pounds","50%","BADGE X2","Tomatoes: Slicing",,,,
,"2018-08-23",,,"BADGE X2","SQ 6","Disease management","Spraying: Tractor",0.32,1.02,"Pounds","89%","BADGE X2","Tomatoes: Slicing",,,,
,"2018-08-23",,,"BADGE X2","U","Disease management","Spraying: Tractor",0.34,1.02,"Pounds","44%","BADGE X2","Squash: Winter",,,,
,"2018-08-23",,,"NUFILM P","N","Disease management","Spraying: Tractor",1.09,8,"Ounces","50%","NUFILM P","Tomatoes: Slicing",,,,
,"2018-08-23",,,"NUFILM P","SQ 6","Disease management","Spraying: Tractor",2.38,8,"Ounces","89%","NUFILM P","Tomatoes: Slicing",,,,
,"2018-08-23",,,"NUFILM P","U","Disease management","Spraying: Tractor",2.53,8,"Ounces","44%","NUFILM P","Squash: Winter",,,,
,"2018-08-23",,,"REGALIA","N","Disease management","Spraying: Tractor",0.27,2,"Quarts","50%","REGALIA","Tomatoes: Slicing",,,,
,"2018-08-23",,,"REGALIA","SQ 6","Disease management","Spraying: Tractor",0.6,2,"Quarts","89%","REGALIA","Tomatoes: Slicing",,,,
,"2018-08-23",,,"REGALIA","U","Disease management","Spraying: Tractor",0.63,2,"Quarts","44%","REGALIA","Squash: Winter",,,,
,"2018-08-23",,,"ORGANIC GEM 343","N","Disease management","Spraying: Tractor",0.55,4,"Quarts","50%","ORGANIC GEM 343","Tomatoes: Slicing",,,,
,"2018-08-23",,,"ORGANIC GEM 343","SQ 6","Disease management","Spraying: Tractor",1.19,4,"Quarts","89%","ORGANIC GEM 343","Tomatoes: Slicing",,,,
,"2018-08-23",,,"ORGANIC GEM 343","U","Disease management","Spraying: Tractor",1.26,4,"Quarts","44%","ORGANIC GEM 343","Squash: Winter",,,,
